store_id,store_id,product_key,calendar_date,on_hand_qty,total_units,total_sales,promotional_units,promotional_sales,join_quality,available_day
108,108,1,3/1/2015,39.0,5,29.85,5,29.85,BOTH,1
108,108,1,3/2/2015,38.0,1,5.97,1,5.97,BOTH,1
108,108,1,3/3/2015,76.0,2,11.94,2,11.94,BOTH,1
108,108,1,3/4/2015,68.0,8,47.76,8,47.76,BOTH,1
108,108,1,3/5/2015,60.0,8,47.76,8,47.76,BOTH,1
108,108,1,3/6/2015,53.0,7,41.79,7,41.79,BOTH,1
108,108,1,3/7/2015,39.0,13,77.61,13,77.61,BOTH,1
108,108,1,3/8/2015,30.0,9,53.73,9,53.73,BOTH,1
108,108,1,3/9/2015,26.0,4,23.88,4,23.88,BOTH,1
108,108,1,3/10/2015,63.0,3,16.93,3,16.93,BOTH,1
108,108,1,3/11/2015,57.0,6,35.82,6,35.82,BOTH,1
108,108,1,3/12/2015,54.0,3,17.91,3,17.91,BOTH,1
108,108,1,3/13/2015,48.0,6,35.82,6,35.82,BOTH,1
108,108,1,3/14/2015,40.0,8,47.76,8,47.76,BOTH,1
108,108,1,3/15/2015,32.0,8,44.76,0,0.0,BOTH,1
108,108,1,3/16/2015,28.0,4,23.88,0,0.0,BOTH,1
108,108,1,3/17/2015,66.0,2,11.94,0,0.0,BOTH,1
108,108,1,3/18/2015,66.0,0,0.0,0,0.0,BOTH,1
108,108,1,3/19/2015,66.0,0,0.0,0,0.0,BOTH,1
108,108,1,3/20/2015,64.0,2,11.94,0,0.0,BOTH,1
108,108,1,3/21/2015,61.0,3,17.91,0,0.0,BOTH,1
108,108,1,3/22/2015,54.0,7,41.79,0,0.0,BOTH,1
108,108,1,3/23/2015,50.0,4,23.88,0,0.0,BOTH,1
108,108,1,3/24/2015,46.0,4,23.88,0,0.0,BOTH,1
108,108,1,3/25/2015,42.0,4,23.88,0,0.0,BOTH,1
108,108,1,3/26/2015,40.0,2,11.94,0,0.0,BOTH,1
108,108,1,3/27/2015,71.0,9,53.73,0,0.0,BOTH,1
108,108,1,3/28/2015,64.0,7,41.79,0,0.0,BOTH,1
108,108,1,3/29/2015,57.0,7,41.79,0,0.0,BOTH,1
108,108,1,3/30/2015,49.0,8,47.76,0,0.0,BOTH,1
108,108,1,3/31/2015,47.0,2,11.94,0,0.0,BOTH,1
108,108,1,4/1/2015,41.0,6,35.82,0,0.0,BOTH,1
108,108,1,4/2/2015,38.0,3,17.91,0,0.0,BOTH,1
108,108,1,4/3/2015,116.0,4,23.88,0,0.0,BOTH,1
108,108,1,4/4/2015,77.0,37,218.91,0,0.0,BOTH,1
108,108,1,4/5/2015,53.0,24,143.28,24,143.28,BOTH,1
108,108,1,4/6/2015,72.0,21,125.37,21,125.37,BOTH,1
108,108,1,4/7/2015,95.0,17,101.49,17,101.49,BOTH,1
108,108,1,4/8/2015,76.0,19,113.43,19,113.43,BOTH,1
108,108,1,4/9/2015,58.0,18,107.46,18,107.46,BOTH,1
108,108,1,4/10/2015,79.0,21,125.37,21,125.37,BOTH,1
108,108,1,4/11/2015,45.0,31,185.07,31,185.07,BOTH,1
108,108,1,4/12/2015,25.0,20,116.4,0,0.0,BOTH,1
108,108,1,4/13/2015,54.0,11,65.67,0,0.0,BOTH,1
108,108,1,4/14/2015,44.0,10,59.7,0,0.0,BOTH,1
108,108,1,4/15/2015,43.0,1,5.97,0,0.0,BOTH,1
108,108,1,4/16/2015,74.0,9,53.73,0,0.0,BOTH,1
108,108,1,4/17/2015,71.0,3,17.91,0,0.0,BOTH,1
108,108,1,4/18/2015,109.0,2,11.94,0,0.0,BOTH,1
108,108,1,4/19/2015,91.0,18,107.46,0,0.0,BOTH,1
108,108,1,4/20/2015,81.0,10,59.7,0,0.0,BOTH,1
108,108,1,4/21/2015,112.0,9,53.73,0,0.0,BOTH,1
108,108,1,4/22/2015,106.0,6,35.82,0,0.0,BOTH,1
108,108,1,4/23/2015,98.0,8,47.76,0,0.0,BOTH,1
108,108,1,4/24/2015,90.0,9,53.73,0,0.0,BOTH,1
108,108,1,4/25/2015,73.0,16,95.52,0,0.0,BOTH,1
108,108,1,4/26/2015,48.0,25,149.25,0,0.0,BOTH,1
108,108,1,4/27/2015,42.0,6,35.82,0,0.0,BOTH,1
108,108,1,4/28/2015,39.0,3,17.91,0,0.0,BOTH,1
108,108,1,4/29/2015,38.0,1,5.97,0,0.0,BOTH,1
108,108,1,4/30/2015,75.0,3,17.91,0,0.0,BOTH,1
108,108,1,5/1/2015,57.0,20,119.4,0,0.0,BOTH,1
108,108,1,5/2/2015,59.0,27,161.19,0,0.0,BOTH,1
108,108,1,5/3/2015,35.0,24,143.28,0,0.0,BOTH,1
108,108,1,5/4/2015,33.0,2,11.71,0,0.0,BOTH,1
108,108,1,5/5/2015,33.0,0,0.0,0,0.0,BOTH,1
108,108,1,5/6/2015,72.0,1,5.74,0,0.0,BOTH,1
108,108,1,5/7/2015,63.0,9,51.66,0,0.0,BOTH,1
108,108,1,5/8/2015,55.0,8,45.17,0,0.0,BOTH,1
108,108,1,5/9/2015,37.0,18,103.32,0,0.0,BOTH,1
108,108,1,5/10/2015,30.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/11/2015,30.0,0,0.0,0,0.0,BOTH,1
108,108,1,5/12/2015,59.0,11,63.14,0,0.0,BOTH,1
108,108,1,5/13/2015,53.0,6,34.44,0,0.0,BOTH,1
108,108,1,5/14/2015,46.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/15/2015,37.0,9,51.66,0,0.0,BOTH,1
108,108,1,5/16/2015,62.0,15,86.1,0,0.0,BOTH,1
108,108,1,5/17/2015,50.0,12,68.88,0,0.0,BOTH,1
108,108,1,5/18/2015,43.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/19/2015,33.0,10,57.4,0,0.0,BOTH,1
108,108,1,5/20/2015,25.0,8,45.92,0,0.0,BOTH,1
108,108,1,5/21/2015,54.0,11,63.14,0,0.0,BOTH,1
108,108,1,5/22/2015,38.0,16,91.84,0,0.0,BOTH,1
108,108,1,5/23/2015,29.0,9,50.16,0,0.0,BOTH,1
108,108,1,5/24/2015,64.0,5,28.7,0,0.0,BOTH,1
108,108,1,5/25/2015,44.0,20,114.8,0,0.0,BOTH,1
108,108,1,5/26/2015,37.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/27/2015,27.0,10,57.4,0,0.0,BOTH,1
108,108,1,5/28/2015,60.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/29/2015,121.0,20,114.8,0,0.0,BOTH,1
108,108,1,5/30/2015,127.0,7,40.18,0,0.0,BOTH,1
108,108,1,5/31/2015,95.0,32,182.28,0,0.0,BOTH,1
108,108,1,6/1/2015,88.0,7,40.18,0,0.0,BOTH,1
108,108,1,6/2/2015,77.0,11,63.14,0,0.0,BOTH,1
108,108,1,6/3/2015,173.0,11,63.14,0,0.0,BOTH,1
108,108,1,6/4/2015,161.0,12,68.88,0,0.0,BOTH,1
108,108,1,6/5/2015,150.0,11,63.14,0,0.0,BOTH,1
108,108,1,6/6/2015,140.0,11,63.14,0,0.0,BOTH,1
108,108,1,6/7/2015,135.0,5,28.7,0,0.0,BOTH,1
108,108,1,6/8/2015,128.0,7,40.18,0,0.0,BOTH,1
108,108,1,6/9/2015,200.0,8,45.92,0,0.0,BOTH,1
108,108,1,6/10/2015,193.0,7,40.18,0,0.0,BOTH,1
108,108,1,6/11/2015,183.0,10,57.4,0,0.0,BOTH,1
108,108,1,6/12/2015,174.0,9,51.66,0,0.0,BOTH,1
108,108,1,6/13/2015,156.0,18,103.32,0,0.0,BOTH,1
108,108,1,6/14/2015,141.0,15,86.1,0,0.0,BOTH,1
108,108,1,6/15/2015,132.0,9,51.66,0,0.0,BOTH,1
108,108,1,6/16/2015,118.0,14,80.36,0,0.0,BOTH,1
108,108,1,6/17/2015,155.0,3,16.47,0,0.0,BOTH,1
108,108,1,6/18/2015,191.0,4,22.96,0,0.0,BOTH,1
108,108,1,6/19/2015,179.0,13,74.62,0,0.0,BOTH,1
108,108,1,6/20/2015,161.0,17,96.08,0,0.0,BOTH,1
108,108,1,6/21/2015,152.0,9,50.91,0,0.0,BOTH,1
108,108,1,6/22/2015,147.0,5,26.45,0,0.0,BOTH,1
108,108,1,6/23/2015,141.0,6,33.69,0,0.0,BOTH,1
108,108,1,6/24/2015,135.0,6,34.44,0,0.0,BOTH,1
108,108,1,6/25/2015,131.0,4,22.96,0,0.0,BOTH,1
108,108,1,6/26/2015,122.0,9,51.66,0,0.0,BOTH,1
108,108,1,6/27/2015,108.0,14,80.36,0,0.0,BOTH,1
108,108,1,6/28/2015,90.0,18,103.32,0,0.0,BOTH,1
108,108,1,6/29/2015,78.0,12,68.88,0,0.0,BOTH,1
108,108,1,6/30/2015,68.0,10,57.4,0,0.0,BOTH,1
